9.28027e-03, 3.50000e-05, 2.67394e+00, 2.56008e+00
7.41797e-03, 4.00000e-05, 2.90654e+00, 5.41400e+00
6.14453e-03, 4.50000e-05, 3.31512e+00, 5.78324e+00
5.26123e-03, 5.00000e-05, 3.75017e+00, 6.05487e+00
4.62354e-03, 5.50000e-05, 4.14243e+00, 6.19193e+00
4.14453e-03, 6.00000e-05, 4.46544e+00, 6.19792e+00
3.77246e-03, 6.50000e-05, 4.71047e+00, 6.10366e+00
3.47510e-03, 7.00000e-05, 4.88333e+00, 5.95231e+00
3.23120e-03, 7.50000e-05, 4.99475e+00, 5.76868e+00
3.02734e-03, 8.00000e-05, 5.05998e+00, 5.57995e+00
2.85376e-03, 8.50000e-05, 5.09035e+00, 5.39260e+00
